date,name,value
17-05-2020,manfactures,100
17-05-2021,suppliers,200
17-05-2022,hospitals,1000
18-05-2023,manfactures,300
18-05-2024,suppliers,7878
18-05-2025,hospitals,5676
19-05-2026,manfactures,767
19-05-2027,suppliers,5107.428571
19-05-2028,hospitals,5815.678571
20-05-2029,manfactures,6523.928571
20-05-2030,suppliers,7232.178571
20-05-2031,hospitals,7940.428571
21-05-2032,manfactures,8648.678571
21-05-2033,suppliers,9356.928571
21-05-2034,hospitals,10065.17857
22-05-2035,manfactures,10773.42857
22-05-2036,suppliers,11481.67857
22-05-2037,hospitals,12189.92857
23-05-2038,manfactures,12898.17857
23-05-2039,suppliers,13606.42857
23-05-2040,hospitals,14314.67857
