date,name,value
2021-05-01T00:00:00,manfactures,100
2021-05-01T00:00:00,suppliers,200
2021-05-01T00:00:00,hospitals,1000
2021-05-02T00:00:00,manfactures,300
2021-05-02T00:00:00,suppliers,7878
2021-05-02T00:00:00,hospitals,5676
2021-05-03T00:00:00,manfactures,767
2021-05-03T00:00:00,suppliers,5107.428571
2021-05-03T00:00:00,hospitals,5815.678571
2021-05-04T00:00:00,manfactures,6523.928571
2021-05-04T00:00:00,suppliers,7232.178571
2021-05-04T00:00:00,hospitals,7940.428571
2021-05-05T00:00:00,manfactures,8648.678571
2021-05-05T00:00:00,suppliers,9356.928571
2021-05-05T00:00:00,hospitals,10065.17857
2021-05-06T00:00:00,manfactures,10773.42857
2021-05-06T00:00:00,suppliers,11481.67857
2021-05-06T00:00:00,hospitals,12189.92857
2021-05-07T00:00:00,manfactures,12898.17857
2021-05-07T00:00:00,suppliers,13606.42857
2021-05-07T00:00:00,hospitals,14314.67857
